topic,difficulty,text,options,correct_index,used
Historie,1,Kdo byl prvním prezidentem České republiky?,"[""Václav Havel"", ""Václav Klaus"", ""Miloš Zeman"", ""Petr Pavel""]",0,False
Historie,1,Ve kterém roce skončila druhá světová válka?,"[""1945"", ""1939"", ""1918"", ""1968""]",0,False
Historie,1,Kdo byl prvním prezidentem Československa?,"[""Tomáš Garrigue Masaryk"", ""Edvard Beneš"", ""Emil Hácha"", ""Klement Gottwald""]",0,False
Historie,2,Která bitva proběhla roku 1620?,"[""Bitva na Bílé hoře"", ""Bitva u Slavkova"", ""Bitva u Lipan"", ""Bitva u Sudoměře""]",0,False
Historie,2,Kdo byl vůdcem nacistického Německa?,"[""Adolf Hitler"", ""Benito Mussolini"", ""Josif Stalin"", ""Winston Churchill""]",0,False
Historie,2,Který český panovník byl nazýván Otec vlasti?,"[""Karel IV."", ""Václav IV."", ""Jan Lucemburský"", ""Rudolf II.""]",0,False
Historie,3,Ve kterém roce vznikla samostatná Česká republika?,"[""1993"", ""1992"", ""1989"", ""2004""]",0,False
Historie,3,Která revoluce proběhla v Československu roku 1989?,"[""Sametová revoluce"", ""Únorový převrat"", ""Husitská revoluce"", ""Velká francouzská revoluce""]",0,False
Historie,3,Kdo vedl Mongolskou říši ve 13. století?,"[""Čingischán"", ""Attila"", ""Tamerlán"", ""Kublajchán""]",0,False
Geografie,1,Jaké je hlavní město Francie?,"[""Paříž"", ""Lyon"", ""Marseille"", ""Nice""]",0,False
Geografie,1,Který je největší oceán na Zemi?,"[""Tichý oceán"", ""Atlantský oceán"", ""Indický oceán"", ""Severní ledový oceán""]",0,False
Geografie,1,Na kterém kontinentu leží Egypt?,"[ ""Asie"", ""Evropa"",""Afrika"", ""Austrálie""]",2,False
Geografie,2,Která řeka je nejdelší na světě?,"[ ""Amazonka"", ""Mississippi"", ""Jang-c'-ťiang"", ""Nil""]",3,False
Geografie,2,Který stát má největší rozlohu?,"[""Kanada"", ""USA"",""Rusko"", ""Čína""]",2,False
Geografie,2,Které pohoří odděluje Evropu od Asie?,"[""Ural"", ""Alpy"", ""Himaláje"", ""Karpaty""]",0,False
Geografie,3,Které jezero je nejhlubší na světě?,"[ ""Tanganika"", ""Bajkal"", ""Viktoriino jezero"", ""Balaton""]",1,False
Geografie,3,Který průliv odděluje Evropu od Afriky?,"[""Gibraltarský průliv"", ""Beringův průliv"", ""Bospor"", ""Dardanely""]",0,False
Geografie,3,Které město je nejlidnatější na světě?,"[""Tokio"", ""Dillí"", ""Šanghaj"", ""New York""]",0,False
Věda,1,Jaká je chemická značka kyslíku?,"[ ""K"", ""Ox"", ""Ky"",""O""]",3,False
Věda,1,Kolik planet má sluneční soustava?,"[""8"", ""7"", ""9"", ""10""]",0,False
Věda,1,Která planeta je nejblíže Slunci?,"[""Merkur"", ""Venuše"", ""Země"", ""Mars""]",0,False
Věda,2,Kdo formuloval zákony gravitace?,"[""Isaac Newton"", ""Albert Einstein"", ""Galileo Galilei"", ""Nikola Tesla""]",0,False
Věda,2,Jaký plyn rostliny přijímají při fotosyntéze?,"[""Oxid uhličitý"", ""Kyslík"", ""Dusík"", ""Vodík""]",0,False
Věda,2,Jaká je nejmenší jednotka hmoty?,"[""Atom"", ""Molekula"", ""Buňka"", ""Proton""]",0,False
Věda,3,Jak se nazývá proces dělení buněk?,"[""Mitóza"", ""Osmóza"", ""Difúze"", ""Fotosyntéza""]",0,False
Věda,3,Který fyzik vytvořil teorii relativity?,"[""Albert Einstein"", ""Isaac Newton"", ""Niels Bohr"", ""Stephen Hawking""]",0,False
Věda,3,Jaká je přibližná rychlost světla ve vakuu (km/s)?,"[""300000"", ""150000"", ""30000"", ""3000""]",0,False
